company,ticker,lag_days,correlation,computed_at
Maruti Suzuki,MARUTI.NS,1,,2026-03-18T07:12:36.174874
Maruti Suzuki,MARUTI.NS,2,,2026-03-18T07:12:36.176470
Maruti Suzuki,MARUTI.NS,3,,2026-03-18T07:12:36.178070
Tata Motors,TMPV.NS,1,-0.0,2026-03-18T07:12:36.183326
Tata Motors,TMPV.NS,2,0.0,2026-03-18T07:12:36.183326
Tata Motors,TMPV.NS,3,-0.0,2026-03-18T07:12:36.184937
Mahindra & Mahindra,M&M.NS,1,,2026-03-18T07:12:36.186524
Mahindra & Mahindra,M&M.NS,2,,2026-03-18T07:12:36.188138
Mahindra & Mahindra,M&M.NS,3,,2026-03-18T07:12:36.189751
Bajaj Auto,BAJAJ-AUTO.NS,1,-0.0,2026-03-18T07:12:36.191860
Bajaj Auto,BAJAJ-AUTO.NS,2,-0.0,2026-03-18T07:12:36.192874
Bajaj Auto,BAJAJ-AUTO.NS,3,0.0,2026-03-18T07:12:36.192874
Hero MotoCorp,HEROMOTOCO.NS,1,-0.0,2026-03-18T07:12:36.196104
Hero MotoCorp,HEROMOTOCO.NS,2,-0.0,2026-03-18T07:12:36.196104
Hero MotoCorp,HEROMOTOCO.NS,3,-0.0,2026-03-18T07:12:36.197686
